playlist_name,playlist_contributing_factor,song_ranking,playlist_heat,trackcount,playlist_playcount
钢琴独奏² | 似乎听见繁星正在坠落,67,37,81.0,217,48458
静心休息 舒服纯音乐,156,29,200.0,132,125566
|学习歌单| 用轻音乐抚慰浮躁的心.,5437,238,11940.0,437,14524172
「轻音乐」让心静下来的雨声助眠,2869,24,4781.0,60,2047362
高级感国纯 | 沉寂的繁星会在夜空泛起微光,125,21,157.0,102,182975
一个正经的写作业or复习歌单,4266,215,6525.0,621,8938028
（纯音乐）日落归山海,20,688,85.0,904,124335
时间之外的往事-静心向「睡前/学习」,92,574,658.0,667,1153685
【纯音乐】够了，哭累了，该睡了,1,79,3.0,98,38
「纯音乐」静心 学习 思考...,7845,20,9285.0,129,13260977
钢琴 | 它们都有着独一无二的故事,0,19,0.0,33,2
高效助学｜用往日苦难铺垫梦想路,1568,53,4164.0,85,2356265
【睡觉专用】适合晚上安静听的纯音乐,26253,3,26854.0,134,53071572
安静的下午【读书专用歌单】,35,92,49.0,314,71638
